contractor_id	user_name	password	owner_name	company_name	contractor_phone	contractor_description
1	awesomeCo	pa$$w0rd	Davis George	Awesome Construction Company	3105551230	We provide services for electrical and plumbing.
2	Jamathand	iemahKi6Aev	Frances	Cut Above	9182399293	Electronic equipment repairer
3	Theausted1931	iwuoFeeN0Th	Leonard	Veramons	2544872113	Career counselor
4	Duerse65	ro5ohhaeGae	Ronald	Crandall's Fine Furniture	7188645174	Statistical assistant
5	Theratte	Kiev0tieb	Brian	Angel's	3093743960	Employment manager
6	Pratichap	eeshieV4	Joannie	CompuAdd	3176572531	Pumping station operator
7	Bellon	Ei7eiva1mei	Dorothy	Kinney Shoes	2145446296	Courtesy van driver
8	Excessing	eechoo5Ohh	Stacey	Stop N Shop	6707888860	Payroll and timekeeping clerk
9	Nellootiout	Aeshaihai4z	Olivia	Golf Augusta Pro Shops	3155567788	Drug Enforcement Administration (DEA) agent
10	Hough1989	eeb2Egh8p	Terry	Purity Supreme	8287135797	Occupational health and safety technician
11	Coubled1980	Xoi0oShohk0	David	Pioneer Chicken	9146329720	Nail care technician
12	Posand	kieNeequ9o	Vincent	System Star Solutions	3236873882	Computer software engineer
13	Gotion	saiveeL5Ohr	Justin	Weatherill's	9372882696	Tax accountant
14	Loys1993	Tuongie7	Joan	Steve & Barry's	8324836975	Coin vending and amusement machine servicer repairer
15	Distert	ein8Daipe	Alan	Gas Depot	3048305871	Scanner operator
16	Wasur1960	Aiz8iesha	Robert	Madcats Music & Books	2529773399	Mineralogist
17	Jonan1978	eesh3eep2N	Terry	Paul's Record Hut	3124333700	Information processing worker
18	Chember	eiG3tei7Nei	Lori	Peaches	7708213747	Lift truck operator
19	Caltome	de4kaiz6Vie	Ida	Metro	9894602411	Ski patrol
20	Ofigaill1979	sah4Ohahr7Qu	Dorothy	Mode O'Day	5108879862	Experimental psychologist
21	Kertiver	Woy6aKi3ug	Steve	Soft Warehouse	3157743833	Laundry and dry-cleaning worker
22	Ustract	yaiqu9Ae	Jason	Envirotecture Design	7245310561	Electrologist
23	Nonsts	chei9Ae4	John	Lazysize	8282735892	Dyeing machine operator
24	Messled	AeDo5eiF	Rodney	Soul Sounds Unlimited	7608920899	Poultry cutter
25	Oustonly	veeXee1pe	Denise	Ransohoffs	6063176106	Employment interviewer
26	Abitte	aijauraiPu6	Lauren	Total Sources	8594614652	Technical recruiter
27	Fifienew	AeB9shookii	Grace	Turtle's Records & Tapes	2189943036	Medical records technician
28	Pachise	kieFejix1oh	Sharon	Museum Company	8185817613	Campaign manager
29	Suand1974	Ev8ieT1ahu4ie	Jeff	Kash n' Karry	3175428883	Merchant marine officer
30	Ilthaddly	ou7Iacha	Regina	Magik Gray	7168637912	Travel clerk
31	Coler1934	Ieb8eilee	Joe	Central Hardware	9177492128	Real estate rental agent
32	Majeas	faeLu4Ei	Laura	H.C. Bohack	6302910220	Wealth manager
33	Wereeld	Eesahai8Aed	Robert	Maurice The Pants Man	2549789257	Scheduling clerk
34	Inack1935	geetaem0eLi	Julio	Tons O' Toys	9175254277	Immigration and Naturalization Service (INS) inspector
